task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
W_Nabellen offertes,173688,10913.0,W_Nabellen offertes,10913.0,Fluxicon Disco,Variant 13,13,2011-10-08T16:32:00.886,2011-10-08T16:26:57.720
W_Nabellen offertes,173688,11049.0,W_Nabellen offertes,11049.0,Fluxicon Disco,Variant 13,13,2011-10-10T11:33:05.791,2011-10-10T11:32:22.495
W_Valideren aanvraag,173688,10629.0,W_Valideren aanvraag,10629.0,Fluxicon Disco,Variant 13,13,2011-10-13T10:37:37.026,2011-10-13T10:05:26.925
W_Nabellen offertes,173691,11049.0,W_Nabellen offertes,11049.0,Fluxicon Disco,Variant 171,171,2011-10-10T10:14:45.514,2011-10-10T10:13:44.827
W_Valideren aanvraag,173691,10809.0,W_Valideren aanvraag,10809.0,Fluxicon Disco,Variant 171,171,2011-10-10T11:30:54.893,2011-10-10T11:12:36.612
W_Valideren aanvraag,173691,10809.0,W_Valideren aanvraag,10809.0,Fluxicon Disco,Variant 171,171,2011-10-10T14:14:13.394,2011-10-10T14:11:42.124
W_Valideren aanvraag,173691,10809.0,W_Valideren aanvraag,10809.0,Fluxicon Disco,Variant 171,171,2011-10-10T14:17:34.633,2011-10-10T14:14:52.842
W_Completeren aanvraag,173694,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 295,295,2011-10-01T11:35:59.637,2011-10-01T11:31:25.301
W_Completeren aanvraag,173694,11201.0,W_Completeren aanvraag,11201.0,Fluxicon Disco,Variant 295,295,2011-10-03T13:32:43.313,2011-10-03T13:21:06.626
W_Completeren aanvraag,173694,11201.0,W_Completeren aanvraag,11201.0,Fluxicon Disco,Variant 295,295,2011-10-03T13:40:17.062,2011-10-03T13:32:52.818
W_Nabellen offertes,173694,11201.0,W_Nabellen offertes,11201.0,Fluxicon Disco,Variant 295,295,2011-10-03T13:44:21.261,2011-10-03T13:40:42.469
W_Nabellen offertes,173694,11119.0,W_Nabellen offertes,11119.0,Fluxicon Disco,Variant 295,295,2011-10-10T19:34:36.027,2011-10-10T19:29:54.155
W_Nabellen offertes,173694,10912.0,W_Nabellen offertes,10912.0,Fluxicon Disco,Variant 295,295,2011-10-14T18:16:42.245,2011-10-14T18:15:44.625
W_Nabellen offertes,173694,10861.0,W_Nabellen offertes,10861.0,Fluxicon Disco,Variant 295,295,2011-10-17T19:43:57.774,2011-10-17T19:41:28.395
W_Nabellen offertes,173694,11203.0,W_Nabellen offertes,11203.0,Fluxicon Disco,Variant 295,295,2011-10-26T18:50:22.004,2011-10-26T18:48:57.136
W_Nabellen offertes,173694,11181.0,W_Nabellen offertes,11181.0,Fluxicon Disco,Variant 295,295,2011-10-29T12:41:29.569,2011-10-29T12:39:08.212
W_Nabellen offertes,173694,11189.0,W_Nabellen offertes,11189.0,Fluxicon Disco,Variant 295,295,2011-11-01T14:55:35.020,2011-11-01T14:54:40.128
W_Nabellen offertes,173694,11119.0,W_Nabellen offertes,11119.0,Fluxicon Disco,Variant 295,295,2011-11-01T17:21:02.356,2011-11-01T17:16:31.149
W_Nabellen offertes,173694,11049.0,W_Nabellen offertes,11049.0,Fluxicon Disco,Variant 295,295,2011-11-02T09:15:18.683,2011-11-02T09:11:44.251
W_Valideren aanvraag,173694,10609.0,W_Valideren aanvraag,10609.0,Fluxicon Disco,Variant 295,295,2011-11-04T16:05:01.532,2011-11-04T15:24:21.954
W_Completeren aanvraag,173703,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 5,5,2011-10-01T11:40:24.141,2011-10-01T11:37:46.748
W_Completeren aanvraag,173703,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 5,5,2011-10-01T13:02:12.557,2011-10-01T12:40:26.958
W_Afhandelen leads,173706,10912.0,W_Afhandelen leads,10912.0,Fluxicon Disco,Variant 8,8,2011-10-01T10:16:49.843,2011-10-01T10:15:43.883
W_Completeren aanvraag,173706,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 8,8,2011-10-01T11:50:14.483,2011-10-01T11:49:28.183
W_Completeren aanvraag,173706,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 8,8,2011-10-01T11:53:55.769,2011-10-01T11:50:21.451
W_Afhandelen leads,173712,10912.0,W_Afhandelen leads,10912.0,Fluxicon Disco,Variant 8,8,2011-10-01T10:10:25.759,2011-10-01T10:08:36.700
W_Completeren aanvraag,173712,11019.0,W_Completeren aanvraag,11019.0,Fluxicon Disco,Variant 8,8,2011-10-01T13:03:35.216,2011-10-01T12:59:13.844
W_Completeren aanvraag,173712,11180.0,W_Completeren aanvraag,11180.0,Fluxicon Disco,Variant 8,8,2011-10-03T11:17:29.105,2011-10-03T11:16:05.035
W_Completeren aanvraag,173712,11180.0,W_Completeren aanvraag,11180.0,Fluxicon Disco,Variant 8,8,2011-10-03T14:42:55.584,2011-10-03T14:39:34.962
W_Completeren aanvraag,173715,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 23,23,2011-10-01T12:30:24.155,2011-10-01T12:18:51.701
W_Nabellen offertes,173715,10913.0,W_Nabellen offertes,10913.0,Fluxicon Disco,Variant 23,23,2011-10-08T16:38:17.372,2011-10-08T16:35:18.821
W_Nabellen offertes,173715,10899.0,W_Nabellen offertes,10899.0,Fluxicon Disco,Variant 23,23,2011-10-10T12:54:04.785,2011-10-10T12:53:54.726
W_Valideren aanvraag,173715,10138.0,W_Valideren aanvraag,10138.0,Fluxicon Disco,Variant 23,23,2011-10-13T11:05:28.082,2011-10-13T11:00:48.597
W_Nabellen offertes,173718,11002.0,W_Nabellen offertes,11002.0,Fluxicon Disco,Variant 933,933,2011-10-08T16:31:37.972,2011-10-08T16:29:16.320
W_Nabellen offertes,173718,11049.0,W_Nabellen offertes,11049.0,Fluxicon Disco,Variant 933,933,2011-10-10T10:55:07.452,2011-10-10T10:54:21.749
W_Valideren aanvraag,173718,10629.0,W_Valideren aanvraag,10629.0,Fluxicon Disco,Variant 933,933,2011-10-13T12:36:12.529,2011-10-13T12:09:25.043
W_Nabellen incomplete dossiers,173718,10629.0,W_Nabellen incomplete dossiers,10629.0,Fluxicon Disco,Variant 933,933,2011-10-13T13:53:16.314,2011-10-13T13:52:13.304
W_Nabellen incomplete dossiers,173718,11122.0,W_Nabellen incomplete dossiers,11122.0,Fluxicon Disco,Variant 933,933,2011-10-13T17:12:01.909,2011-10-13T16:51:40.072
W_Nabellen incomplete dossiers,173718,11122.0,W_Nabellen incomplete dossiers,11122.0,Fluxicon Disco,Variant 933,933,2011-10-13T17:14:13.926,2011-10-13T17:12:16.147
W_Nabellen incomplete dossiers,173718,11122.0,W_Nabellen incomplete dossiers,11122.0,Fluxicon Disco,Variant 933,933,2011-10-13T17:14:26.112,2011-10-13T17:14:15.943
W_Nabellen incomplete dossiers,173718,10913.0,W_Nabellen incomplete dossiers,10913.0,Fluxicon Disco,Variant 933,933,2011-10-15T15:17:31.488,2011-10-15T15:13:04.199
W_Nabellen incomplete dossiers,173718,10913.0,W_Nabellen incomplete dossiers,10913.0,Fluxicon Disco,Variant 933,933,2011-10-15T16:56:14.624,2011-10-15T16:56:05.635
W_Nabellen incomplete dossiers,173718,10889.0,W_Nabellen incomplete dossiers,10889.0,Fluxicon Disco,Variant 933,933,2011-10-18T16:46:24.246,2011-10-18T16:14:48.278
W_Nabellen incomplete dossiers,173718,11002.0,W_Nabellen incomplete dossiers,11002.0,Fluxicon Disco,Variant 933,933,2011-10-18T17:46:34.802,2011-10-18T17:23:36.468
W_Valideren aanvraag,173718,10972.0,W_Valideren aanvraag,10972.0,Fluxicon Disco,Variant 933,933,2011-10-19T08:53:21.372,2011-10-19T08:40:06.443
W_Nabellen incomplete dossiers,173718,11049.0,W_Nabellen incomplete dossiers,11049.0,Fluxicon Disco,Variant 933,933,2011-10-20T09:30:32.963,2011-10-20T09:30:20.104
W_Nabellen incomplete dossiers,173718,11121.0,W_Nabellen incomplete dossiers,11121.0,Fluxicon Disco,Variant 933,933,2011-10-24T15:24:55.532,2011-10-24T15:18:56.928
W_Valideren aanvraag,173718,10972.0,W_Valideren aanvraag,10972.0,Fluxicon Disco,Variant 933,933,2011-10-27T09:18:01.790,2011-10-27T09:02:10.475
W_Completeren aanvraag,173721,10939.0,W_Completeren aanvraag,10939.0,Fluxicon Disco,Variant 934,934,2011-10-01T11:20:50.335,2011-10-01T11:09:08.607
W_Nabellen offertes,173721,10939.0,W_Nabellen offertes,10939.0,Fluxicon Disco,Variant 934,934,2011-10-01T11:22:52.458,2011-10-01T11:21:20.844
W_Nabellen offertes,173721,10939.0,W_Nabellen offertes,10939.0,Fluxicon Disco,Variant 934,934,2011-10-01T11:32:54.371,2011-10-01T11:26:32.199
W_Valideren aanvraag,173721,10609.0,W_Valideren aanvraag,10609.0,Fluxicon Disco,Variant 934,934,2011-10-10T10:06:09.471,2011-10-10T09:32:46.394
W_Nabellen incomplete dossiers,173721,10912.0,W_Nabellen incomplete dossiers,10912.0,Fluxicon Disco,Variant 934,934,2011-10-10T10:20:04.927,2011-10-10T10:17:26.457
W_Nabellen incomplete dossiers,173721,10912.0,W_Nabellen incomplete dossiers,10912.0,Fluxicon Disco,Variant 934,934,2011-10-10T11:42:32.977,2011-10-10T11:40:34.365
W_Nabellen incomplete dossiers,173721,11009.0,W_Nabellen incomplete dossiers,11009.0,Fluxicon Disco,Variant 934,934,2011-10-10T16:28:29.918,2011-10-10T16:22:05.322
W_Afhandelen leads,173724,10912.0,W_Afhandelen leads,10912.0,Fluxicon Disco,Variant 81,81,2011-10-01T12:12:27.600,2011-10-01T12:04:34.265
W_Afhandelen leads,173724,10939.0,W_Afhandelen leads,10939.0,Fluxicon Disco,Variant 81,81,2011-10-01T12:20:55.527,2011-10-01T12:19:56.702
W_Completeren aanvraag,173724,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 81,81,2011-10-01T13:27:08.763,2011-10-01T13:24:12.098
W_Completeren aanvraag,173724,11000.0,W_Completeren aanvraag,11000.0,Fluxicon Disco,Variant 81,81,2011-10-01T15:15:17.707,2011-10-01T15:12:31.862
W_Completeren aanvraag,173724,11201.0,W_Completeren aanvraag,11201.0,Fluxicon Disco,Variant 81,81,2011-10-03T15:48:20.505,2011-10-03T15:37:41.290
W_Completeren aanvraag,173730,10912.0,W_Completeren aanvraag,10912.0,Fluxicon Disco,Variant 935,935,2011-10-01T13:55:31.990,2011-10-01T13:52:49.258
W_Completeren aanvraag,173730,11203.0,W_Completeren aanvraag,11203.0,Fluxicon Disco,Variant 935,935,2011-10-01T15:15:12.440,2011-10-01T15:14:58.530
W_Completeren aanvraag,173730,11203.0,W_Completeren aanvraag,11203.0,Fluxicon Disco,Variant 935,935,2011-10-01T15:31:19.388,2011-10-01T15:15:21.163
W_Completeren aanvraag,173730,11203.0,W_Completeren aanvraag,11203.0,Fluxicon Disco,Variant 935,935,2011-10-01T15:40:12.281,2011-10-01T15:31:39.115
W_Nabellen offertes,173730,11203.0,W_Nabellen offertes,11203.0,Fluxicon Disco,Variant 935,935,2011-10-01T15:48:39.764,2011-10-01T15:43:00.152
W_Nabellen offertes,173730,10913.0,W_Nabellen offertes,10913.0,Fluxicon Disco,Variant 935,935,2011-10-08T16:20:20.579,2011-10-08T16:16:59.088
W_Nabellen offertes,173730,10863.0,W_Nabellen offertes,10863.0,Fluxicon Disco,Variant 935,935,2011-10-11T19:55:07.690,2011-10-11T19:54:03.544
W_Nabellen offertes,173730,11180.0,W_Nabellen offertes,11180.0,Fluxicon Disco,Variant 935,935,2011-10-12T15:37:20.679,2011-10-12T15:36:27.719
W_Nabellen offertes,173730,11180.0,W_Nabellen offertes,11180.0,Fluxicon Disco,Variant 935,935,2011-10-13T18:35:43.994,2011-10-13T18:34:47.253
W_Valideren aanvraag,173730,10809.0,W_Valideren aanvraag,10809.0,Fluxicon Disco,Variant 935,935,2011-10-19T13:20:05.181,2011-10-19T12:25:18.775
W_Nabellen incomplete dossiers,173730,11122.0,W_Nabellen incomplete dossiers,11122.0,Fluxicon Disco,Variant 935,935,2011-10-19T19:11:47.711,2011-10-19T18:55:05.396
W_Valideren aanvraag,173730,10972.0,W_Valideren aanvraag,10972.0,Fluxicon Disco,Variant 935,935,2011-10-20T10:08:56.355,2011-10-20T09:37:43.040
W_Nabellen incomplete dossiers,173730,11169.0,W_Nabellen incomplete dossiers,11169.0,Fluxicon Disco,Variant 935,935,2011-10-20T10:27:48.591,2011-10-20T10:18:21.411
W_Valideren aanvraag,173730,10972.0,W_Valideren aanvraag,10972.0,Fluxicon Disco,Variant 935,935,2011-10-20T12:00:47.010,2011-10-20T11:55:35.390
W_Nabellen incomplete dossiers,173730,11169.0,W_Nabellen incomplete dossiers,11169.0,Fluxicon Disco,Variant 935,935,2011-10-20T12:32:33.048,2011-10-20T12:19:37.251
W_Nabellen incomplete dossiers,173730,10972.0,W_Nabellen incomplete dossiers,10972.0,Fluxicon Disco,Variant 935,935,2011-10-20T13:52:22.540,2011-10-20T13:51:25.207
W_Nabellen incomplete dossiers,173730,11049.0,W_Nabellen incomplete dossiers,11049.0,Fluxicon Disco,Variant 935,935,2011-10-20T16:25:42.079,2011-10-20T16:25:05.793
W_Valideren aanvraag,173730,10972.0,W_Valideren aanvraag,10972.0,Fluxicon Disco,Variant 935,935,2011-10-21T06:15:05.392,2011-10-20T16:55:11.416
W_Valideren aanvraag,173730,10809.0,W_Valideren aanvraag,10809.0,Fluxicon Disco,Variant 935,935,2011-10-21T09:05:10.854,2011-10-21T09:01:28.362
W_Valideren aanvraag,173730,10972.0,W_Valideren aanvraag,10972.0,Fluxicon Disco,Variant 935,935,2011-10-21T09:08:21.511,2011-10-21T09:06:55.307
W_Afhandelen leads,173733,10939.0,W_Afhandelen leads,10939.0,Fluxicon Disco,Variant 1,1,2011-10-01T14:54:56.346,2011-10-01T14:54:11.886
W_Completeren aanvraag,173736,11019.0,W_Completeren aanvraag,11019.0,Fluxicon Disco,Variant 936,936,2011-10-01T15:40:09.622,2011-10-01T15:25:56.976
W_Completeren aanvraag,173736,11203.0,W_Completeren aanvraag,11203.0,Fluxicon Disco,Variant 936,936,2011-10-01T15:55:45.029,2011-10-01T15:49:16.131
W_Completeren aanvraag,173736,11203.0,W_Completeren aanvraag,11203.0,Fluxicon Disco,Variant 936,936,2011-10-01T16:05:28.909,2011-10-01T15:56:00.621
W_Nabellen offertes,173736,10982.0,W_Nabellen offertes,10982.0,Fluxicon Disco,Variant 936,936,2011-10-04T12:59:22.813,2011-10-04T12:56:41.233
W_Nabellen offertes,173736,10899.0,W_Nabellen offertes,10899.0,Fluxicon Disco,Variant 936,936,2011-10-10T13:34:00.234,2011-10-10T13:33:49.257
W_Valideren aanvraag,173736,10138.0,W_Valideren aanvraag,10138.0,Fluxicon Disco,Variant 936,936,2011-10-13T10:49:09.254,2011-10-13T10:30:56.461
W_Nabellen incomplete dossiers,173736,11169.0,W_Nabellen incomplete dossiers,11169.0,Fluxicon Disco,Variant 936,936,2011-10-13T11:36:55.756,2011-10-13T11:27:32.444
W_Valideren aanvraag,173736,10809.0,W_Valideren aanvraag,10809.0,Fluxicon Disco,Variant 936,936,2011-10-18T12:01:37.810,2011-10-18T11:50:29.643
W_Completeren aanvraag,173739,11000.0,W_Completeren aanvraag,11000.0,Fluxicon Disco,Variant 937,937,2011-10-01T15:27:27.909,2011-10-01T15:26:10.309
W_Completeren aanvraag,173739,11000.0,W_Completeren aanvraag,11000.0,Fluxicon Disco,Variant 937,937,2011-10-01T15:56:43.006,2011-10-01T15:44:57.589
W_Nabellen offertes,173739,11000.0,W_Nabellen offertes,11000.0,Fluxicon Disco,Variant 937,937,2011-10-01T16:00:21.937,2011-10-01T16:00:15.843
W_Nabellen offertes,173739,11000.0,W_Nabellen offertes,11000.0,Fluxicon Disco,Variant 937,937,2011-10-08T15:32:48.196,2011-10-08T15:27:11.144
W_Valideren aanvraag,173739,10609.0,W_Valideren aanvraag,10609.0,Fluxicon Disco,Variant 937,937,2011-10-13T13:12:26.149,2011-10-13T12:56:47.536
W_Valideren aanvraag,173739,10629.0,W_Valideren aanvraag,10629.0,Fluxicon Disco,Variant 937,937,2011-10-13T15:04:19.365,2011-10-13T14:30:14.065
W_Nabellen incomplete dossiers,173739,10939.0,W_Nabellen incomplete dossiers,10939.0,Fluxicon Disco,Variant 937,937,2011-10-13T20:01:47.622,2011-10-13T19:54:43.879
W_Nabellen incomplete dossiers,173739,11019.0,W_Nabellen incomplete dossiers,11019.0,Fluxicon Disco,Variant 937,937,2011-10-14T10:06:41.548,2011-10-14T10:05:16.955
W_Nabellen incomplete dossiers,173739,11000.0,W_Nabellen incomplete dossiers,11000.0,Fluxicon Disco,Variant 937,937,2011-10-14T14:05:18.189,2011-10-14T14:04:14.642
W_Valideren aanvraag,173739,10629.0,W_Valideren aanvraag,10629.0,Fluxicon Disco,Variant 937,937,2011-10-14T16:22:55.654,2011-10-14T16:21:08.274
W_Afhandelen leads,173742,10939.0,W_Afhandelen leads,10939.0,Fluxicon Disco,Variant 217,217,2011-10-01T14:56:22.258,2011-10-01T14:54:59.794
W_Completeren aanvraag,173742,11180.0,W_Completeren aanvraag,11180.0,Fluxicon Disco,Variant 217,217,2011-10-03T12:56:17.811,2011-10-03T12:55:29.782
W_Completeren aanvraag,173742,11201.0,W_Completeren aanvraag,11201.0,Fluxicon Disco,Variant 217,217,2011-10-03T15:55:10.703,2011-10-03T15:53:14.368
W_Completeren aanvraag,173742,11169.0,W_Completeren aanvraag,11169.0,Fluxicon Disco,Variant 217,217,2011-10-04T11:35:15.898,2011-10-04T11:30:57.138
W_Completeren aanvraag,173742,11179.0,W_Completeren aanvraag,11179.0,Fluxicon Disco,Variant 217,217,2011-10-04T13:26:21.211,2011-10-04T13:25:26.997
W_Completeren aanvraag,173742,11122.0,W_Completeren aanvraag,11122.0,Fluxicon Disco,Variant 217,217,2011-10-04T17:27:09.867,2011-10-04T17:26:11.606
