task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
Start,100101,Start,Start,Start,Fluxicon Disco,Variant 6,6,2016-03-12T23:59:55.000,2016-03-12T23:59:55.000
Traer informacion estudiante - banner,100101,7071,Traer informacion estudiante - banner,7071,Fluxicon Disco,Variant 6,6,2016-03-12T23:59:55.000,2016-03-12T23:59:55.000
Radicar Solicitud Homologacion,100101,7071,Radicar Solicitud Homologacion,7071,Fluxicon Disco,Variant 6,6,2016-03-13T00:00:02.000,2016-03-13T00:00:02.000
Validar solicitud,100101,22475,Validar solicitud,22475,Fluxicon Disco,Variant 6,6,2016-03-13T00:19:56.000,2016-03-13T00:19:49.000
Homologacion por grupo de cursos,100101,22478,Homologacion por grupo de cursos,22478,Fluxicon Disco,Variant 6,6,2016-03-14T14:15:32.000,2016-03-14T14:07:40.000
Revisar curso,100101,22475,Revisar curso,22475,Fluxicon Disco,Variant 6,6,2016-03-14T14:07:40.000,2016-03-14T14:07:40.000
Evaluacion curso,100101,22478,Evaluacion curso,22478,Fluxicon Disco,Variant 6,6,2016-03-14T14:15:55.000,2016-03-14T14:08:04.000
End,100101,End,End,End,Fluxicon Disco,Variant 6,6,2016-03-14T14:15:55.000,2016-03-14T14:15:55.000
Start,100102,Start,Start,Start,Fluxicon Disco,Variant 7,7,2016-03-13T00:20:48.000,2016-03-13T00:20:48.000
Traer informacion estudiante - banner,100102,7071,Traer informacion estudiante - banner,7071,Fluxicon Disco,Variant 7,7,2016-03-13T00:20:48.000,2016-03-13T00:20:48.000
Radicar Solicitud Homologacion,100102,7071,Radicar Solicitud Homologacion,7071,Fluxicon Disco,Variant 7,7,2016-03-13T00:20:49.000,2016-03-13T00:20:49.000
Cancelar Solicitud,100102,7071,Cancelar Solicitud,7071,Fluxicon Disco,Variant 7,7,2016-03-13T02:13:42.000,2016-03-13T00:26:08.000
Validar solicitud,100102,22475,Validar solicitud,22475,Fluxicon Disco,Variant 7,7,2016-03-13T00:26:11.000,2016-03-13T00:26:08.000
Notificacion estudiante cancelacion soli,100102,7071,Notificacion estudiante cancelacion soli,7071,Fluxicon Disco,Variant 7,7,2016-04-07T18:34:20.000,2016-04-07T18:34:20.000
