task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
Start,Case1,Start,Start,Start,Fluxicon Disco,Variant 7,7,2012-01-30T05:24:00.000,2012-01-30T05:24:00.000
Turning & Milling,Case1,ID4932,Turning & Milling,ID4932,Fluxicon Disco,Variant 7,7,2012-01-30T11:43:00.000,2012-01-30T05:24:00.000
Turning & Milling,Case1,ID4932,Turning & Milling,ID4932,Fluxicon Disco,Variant 7,7,2012-01-30T12:42:00.000,2012-01-30T11:44:00.000
Turning & Milling,Case1,ID4167,Turning & Milling,ID4167,Fluxicon Disco,Variant 7,7,2012-01-30T13:21:00.000,2012-01-30T12:59:00.000
Turning & Milling,Case1,ID4167,Turning & Milling,ID4167,Fluxicon Disco,Variant 7,7,2012-01-30T16:58:00.000,2012-01-30T13:21:00.000
Turning & Milling Q.C.,Case1,ID4163,Turning & Milling Q.C.,ID4163,Fluxicon Disco,Variant 7,7,2012-01-31T20:50:00.000,2012-01-31T19:20:00.000
Laser Marking,Case1,ID0998,Laser Marking,ID0998,Fluxicon Disco,Variant 7,7,2012-02-01T14:27:00.000,2012-02-01T14:18:00.000
Lapping,Case1,ID4882,Lapping,ID4882,Fluxicon Disco,Variant 7,7,2012-02-14T07:15:00.000,2012-02-14T06:00:00.000
Lapping,Case1,ID4882,Lapping,ID4882,Fluxicon Disco,Variant 7,7,2012-02-14T07:15:00.000,2012-02-14T06:00:00.000
Lapping,Case1,ID4882,Lapping,ID4882,Fluxicon Disco,Variant 7,7,2012-02-14T15:38:00.000,2012-02-14T15:05:00.000
Lapping,Case1,ID4882,Lapping,ID4882,Fluxicon Disco,Variant 7,7,2012-02-14T16:20:00.000,2012-02-14T15:05:00.000
Round Grinding,Case1,ID4445,Round Grinding,ID4445,Fluxicon Disco,Variant 7,7,2012-02-14T19:37:00.000,2012-02-14T15:13:00.000
Round Grinding,Case1,ID4445,Round Grinding,ID4445,Fluxicon Disco,Variant 7,7,2012-02-14T21:27:00.000,2012-02-14T19:37:00.000
Final Inspection Q.C.,Case1,ID4493,Final Inspection Q.C.,ID4493,Fluxicon Disco,Variant 7,7,2012-02-16T13:59:00.000,2012-02-16T12:59:00.000
Final Inspection Q.C.,Case1,ID4493,Final Inspection Q.C.,ID4493,Fluxicon Disco,Variant 7,7,2012-02-16T19:58:00.000,2012-02-16T18:11:00.000
Final Inspection Q.C.,Case1,ID4493,Final Inspection Q.C.,ID4493,Fluxicon Disco,Variant 7,7,2012-02-16T22:12:00.000,2012-02-16T18:43:00.000
Packing,Case1,ID4820,Packing,ID4820,Fluxicon Disco,Variant 7,7,2012-02-17T07:00:00.000,2012-02-17T06:00:00.000
End,Case1,End,End,End,Fluxicon Disco,Variant 7,7,2012-02-17T07:00:00.000,2012-02-17T07:00:00.000
Start,Case10,Start,Start,Start,Fluxicon Disco,Variant 8,8,2012-01-17T13:01:00.000,2012-01-17T13:01:00.000
Turning & Milling,Case10,ID3846,Turning & Milling,ID3846,Fluxicon Disco,Variant 8,8,2012-01-17T17:05:00.000,2012-01-17T13:01:00.000
Turning Q.C.,Case10,ID4618,Turning Q.C.,ID4618,Fluxicon Disco,Variant 8,8,2012-01-17T17:15:00.000,2012-01-17T17:00:00.000
Turning & Milling,Case10,ID4132,Turning & Milling,ID4132,Fluxicon Disco,Variant 8,8,2012-01-18T02:01:00.000,2012-01-18T01:24:00.000
Turning & Milling,Case10,ID4132,Turning & Milling,ID4132,Fluxicon Disco,Variant 8,8,2012-01-18T05:43:00.000,2012-01-18T02:01:00.000
Turning & Milling,Case10,ID4794,Turning & Milling,ID4794,Fluxicon Disco,Variant 8,8,2012-01-18T12:32:00.000,2012-01-18T05:49:00.000
Turning & Milling,Case10,ID3846,Turning & Milling,ID3846,Fluxicon Disco,Variant 8,8,2012-01-18T13:24:00.000,2012-01-18T12:59:00.000
Turning & Milling,Case10,ID4132,Turning & Milling,ID4132,Fluxicon Disco,Variant 8,8,2012-01-18T23:55:00.000,2012-01-18T22:33:00.000
Turning & Milling,Case10,ID4132,Turning & Milling,ID4132,Fluxicon Disco,Variant 8,8,2012-01-19T02:04:00.000,2012-01-18T23:57:00.000
Turning & Milling,Case10,ID4794,Turning & Milling,ID4794,Fluxicon Disco,Variant 8,8,2012-01-19T12:29:00.000,2012-01-19T02:10:00.000
Turning & Milling,Case10,ID4132,Turning & Milling,ID4132,Fluxicon Disco,Variant 8,8,2012-01-20T00:09:00.000,2012-01-19T22:12:00.000
Turning & Milling,Case10,ID4132,Turning & Milling,ID4132,Fluxicon Disco,Variant 8,8,2012-01-20T02:08:00.000,2012-01-20T00:10:00.000
Turning & Milling,Case10,ID4794,Turning & Milling,ID4794,Fluxicon Disco,Variant 8,8,2012-01-20T11:10:00.000,2012-01-20T02:09:00.000
Turning & Milling,Case10,ID4641,Turning & Milling,ID4641,Fluxicon Disco,Variant 8,8,2012-01-22T12:34:00.000,2012-01-22T08:42:00.000
Turning & Milling,Case10,ID3846,Turning & Milling,ID3846,Fluxicon Disco,Variant 8,8,2012-01-22T13:13:00.000,2012-01-22T13:00:00.000
Turning & Milling,Case10,ID3846,Turning & Milling,ID3846,Fluxicon Disco,Variant 8,8,2012-01-22T23:47:00.000,2012-01-22T15:02:00.000
Turning Q.C.,Case10,ID4618,Turning Q.C.,ID4618,Fluxicon Disco,Variant 8,8,2012-01-23T16:26:00.000,2012-01-23T13:54:00.000
Laser Marking,Case10,ID4794,Laser Marking,ID4794,Fluxicon Disco,Variant 8,8,2012-01-25T16:57:00.000,2012-01-25T15:31:00.000
