task,caseid,user,LogType,elementId,processId,resourceId,end_timestamp,start_timestamp
AA,1450,JKL-000002,MXML.EnactmentLog,Task_06c1top,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-23T13:15:49.397,2020-12-23T13:08:55.650
R,1450,DEF-000002,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T14:17:20.496,2020-12-23T13:15:49.397
S,1450,DEF-000001,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T14:19:32.843,2020-12-23T14:17:20.496
T,1450,DEF-000003,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T14:54:44.942,2020-12-23T14:19:32.843
A,1451,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T15:55:42.953,2020-12-22T15:55:21.598
B,1451,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T15:58:50.921,2020-12-22T15:55:42.953
G,1451,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T15:59:59.264,2020-12-22T15:58:50.921
F,1451,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T16:01:06.751,2020-12-22T15:59:59.264
D,1451,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T16:14:19.034,2020-12-22T16:01:06.751
H,1451,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T16:37:47.388,2020-12-22T16:14:19.034
C,1451,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T16:42:53.410,2020-12-22T16:37:47.388
E,1451,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T16:44:09.371,2020-12-22T16:42:53.410
I,1451,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:16:34.540,2020-12-22T17:15:34.540
J,1451,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:02:36.717,2020-12-22T17:57:27.916
K,1451,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:46:44.774,2020-12-22T18:46:42.774
N,1451,ABC-000001,MXML.EnactmentLog,Task_1k76one,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:40:09.271,2020-12-22T19:30:30.386
Y,1451,JKL-000002,MXML.EnactmentLog,Task_1n1wfe0,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-22T19:50:22.203,2020-12-22T19:40:09.271
Z,1451,JKL-000001,MXML.EnactmentLog,Task_0t0yzbp,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-22T23:49:02.472,2020-12-22T19:50:22.203
AA,1451,JKL-000002,MXML.EnactmentLog,Task_06c1top,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-22T23:54:48.584,2020-12-22T23:49:02.472
R,1451,DEF-000003,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T05:10:07.091,2020-12-22T23:54:48.584
S,1451,DEF-000001,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T05:15:28.979,2020-12-23T05:10:07.091
T,1451,DEF-000003,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T05:31:09.784,2020-12-23T05:15:28.979
A,1452,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T16:54:24.404,2020-12-22T16:44:09.371
B,1452,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:15:34.540,2020-12-22T17:12:20.223
G,1452,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:27:56.929,2020-12-22T17:26:12.464
F,1452,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:29:02.675,2020-12-22T17:27:56.929
D,1452,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:30:13.593,2020-12-22T17:29:02.675
H,1452,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:40:00.348,2020-12-22T17:30:13.593
C,1452,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:40:57.953,2020-12-22T17:40:00.348
E,1452,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:57:27.916,2020-12-22T17:40:57.953
I,1452,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:46:42.774,2020-12-22T18:45:42.774
J,1452,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:30:30.386,2020-12-22T19:26:28.937
K,1452,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:45:29.234,2020-12-22T19:45:27.234
M,1452,ABC-000001,MXML.EnactmentLog,Task_0tkh9qf,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:11:42.045,2020-12-22T19:46:24.961
N,1452,ABC-000001,MXML.EnactmentLog,Task_1k76one,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:13:43.135,2020-12-22T20:11:42.045
U,1452,GHI-000001,MXML.EnactmentLog,Task_1abbjnw,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-12-22T20:16:11.603,2020-12-22T20:11:42.045
Y,1452,JKL-000003,MXML.EnactmentLog,Task_1n1wfe0,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-22T20:17:52.290,2020-12-22T20:13:43.135
V,1452,GHI-000002,MXML.EnactmentLog,Task_0oq0sec,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-12-22T20:31:54.295,2020-12-22T20:16:11.603
Z,1452,JKL-000002,MXML.EnactmentLog,Task_0t0yzbp,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-22T22:01:03.233,2020-12-22T20:17:52.290
X,1452,GHI-000003,MXML.EnactmentLog,Task_0qw0y7l,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-12-22T20:37:54.744,2020-12-22T20:31:54.295
AA,1452,JKL-000003,MXML.EnactmentLog,Task_06c1top,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-22T22:15:44.866,2020-12-22T22:01:03.233
R,1452,DEF-000003,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-22T23:21:31.735,2020-12-22T22:15:44.866
S,1452,DEF-000003,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-22T23:25:22.244,2020-12-22T23:21:31.735
T,1452,DEF-000003,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-22T23:32:29.323,2020-12-22T23:25:22.244
I,1452,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T23:33:29.323,2020-12-22T23:32:29.323
J,1452,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T23:34:07.374,2020-12-22T23:33:29.323
K,1452,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T23:34:09.374,2020-12-22T23:34:07.374
L,1452,ABC-000001,MXML.EnactmentLog,Task_0jnkm8s,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T23:35:26.235,2020-12-22T23:34:09.374
A,1453,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:12:20.223,2020-12-22T16:54:24.404
B,1453,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:26:12.464,2020-12-22T17:20:42.259
G,1453,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:25:47.219,2020-12-22T18:15:02.104
F,1453,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:28:37.663,2020-12-22T18:25:47.219
D,1453,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:30:09.906,2020-12-22T18:28:37.663
H,1453,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:45:01.113,2020-12-22T18:30:09.906
C,1453,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:45:08.875,2020-12-22T18:45:01.113
E,1453,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:45:42.774,2020-12-22T18:45:08.875
I,1453,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:41:09.271,2020-12-22T19:40:09.271
J,1453,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:46:22.961,2020-12-22T19:45:29.234
K,1453,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:13:45.135,2020-12-22T20:13:43.135
O,1453,ABC-000001,MXML.EnactmentLog,Task_1l1hbv6,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:21:52.969,2020-12-22T20:20:11.854
BB,1453,MNO-000003,MXML.EnactmentLog,Task_1pzwok3,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-12-22T20:28:08.984,2020-12-22T20:21:52.969
CC,1453,MNO-000001,MXML.EnactmentLog,Task_0t6ryvv,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-12-22T22:33:01.650,2020-12-22T20:28:08.984
DD,1453,MNO-000002,MXML.EnactmentLog,Task_1e72t9f,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-12-22T22:37:19.792,2020-12-22T22:33:01.650
R,1453,DEF-000001,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T00:21:17.792,2020-12-22T22:37:19.792
