task,caseid,user,LogType,case_variant,elementId,processId,resourceCost,resourceId,end_timestamp,start_timestamp
Enter prescription details,5320,Technician-000003,MXML.EnactmentLog,1,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9635,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:19:10.183,2019-04-30T19:16:51.439
Check if refill is allowed,5320,Pharmacy System-000001,MXML.EnactmentLog,1,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:19:10.183,2019-04-30T19:19:10.183
Check DUR,5320,Pharmacy System-000001,MXML.EnactmentLog,1,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:19:10.183,2019-04-30T19:19:10.183
Check Insurance,5320,Pharmacy System-000001,MXML.EnactmentLog,1,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:19:10.183,2019-04-30T19:19:10.183
Pack the drugs (Production),5320,Technician-000003,MXML.EnactmentLog,1,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.0754305555555554,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:28:14.988,2019-05-02T12:25:40.126
Check for Quality Assurance,5320,Pharmacist-000001,MXML.EnactmentLog,1,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.8308888888888888,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:29:14.812,2019-05-02T12:28:14.988
Pick-up,5320,Technician-000001,MXML.EnactmentLog,1,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9766666666666666,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:04:07.424,2019-05-03T19:01:46.784
Process drop-off,5321,Technician-000003,MXML.EnactmentLog,1,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.5888680555555554,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:39:33.605,2019-04-29T15:38:08.808
Enter prescription details,5321,Technician-000002,MXML.EnactmentLog,1,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.0864027777777778,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:20:28.749,2019-04-30T19:17:52.307
Check if refill is allowed,5321,Pharmacy System-000001,MXML.EnactmentLog,1,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:20:28.749,2019-04-30T19:20:28.749
Check DUR,5321,Pharmacy System-000001,MXML.EnactmentLog,1,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:20:28.749,2019-04-30T19:20:28.749
Check Insurance,5321,Pharmacy System-000001,MXML.EnactmentLog,1,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:20:28.749,2019-04-30T19:20:28.749
Pack the drugs (Production),5321,Technician-000003,MXML.EnactmentLog,1,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.1438472222222222,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:30:59.702,2019-05-02T12:28:14.988
Check for Quality Assurance,5321,Pharmacist-000001,MXML.EnactmentLog,1,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9498472222222222,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:32:08.091,2019-05-02T12:30:59.702
Pick-up,5321,Technician-000002,MXML.EnactmentLog,1,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.1442986111111113,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:06:41.034,2019-05-03T19:03:56.255
Process drop-off,5322,Technician-000001,MXML.EnactmentLog,3,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.5689513888888889,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:43:00.512,2019-04-29T15:41:38.583
Enter prescription details,5322,Technician-000003,MXML.EnactmentLog,3,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.116111111111111,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:23:17.266,2019-04-30T19:20:36.546
Check if refill is allowed,5322,Pharmacy System-000001,MXML.EnactmentLog,3,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:23:17.266,2019-04-30T19:23:17.266
Check DUR,5322,Pharmacy System-000001,MXML.EnactmentLog,3,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:23:17.266,2019-04-30T19:23:17.266
Check Insurance,5322,Pharmacy System-000001,MXML.EnactmentLog,3,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:23:17.266,2019-04-30T19:23:17.266
Resolve insurance issues manually,5322,Technician-000001,MXML.EnactmentLog,3,sid-376F3213-4B1D-4DAB-89CC-60F051627586,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.46599999999999997,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:32:15.076,2019-05-02T12:31:07.972
Pack the drugs (Production),5322,Technician-000001,MXML.EnactmentLog,3,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9744236111111112,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:06:27.741,2019-05-03T19:04:07.424
Check for Quality Assurance,5322,Pharmacist-000001,MXML.EnactmentLog,3,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.761611111111111,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-03T19:07:22.577,2019-05-03T19:06:27.741
