task,caseid,user,ASSIGNEDTEAMNAME,incAmt,end_timestamp,start_timestamp,CREATEDT
5eb74a1b83b6addb8454997d580d01b638e24a6f,0048d41c889306101d9ac6461a8f8ac6e7bd119f,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-25T21:32:26.000,1972-07-25T16:20:41.000,1972-07-22T22:46:56.000
c3d08f48336fa8d3a0e15f856118e83655acb308,0048d41c889306101d9ac6461a8f8ac6e7bd119f,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-25T21:28:37.000,1972-07-25T21:28:32.000,1972-07-22T22:46:56.000
85e32bc3038ced169c79bebce5c8c5e88d41e3c8,0048d41c889306101d9ac6461a8f8ac6e7bd119f,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-25T21:28:37.000,1972-07-25T21:28:32.000,1972-07-22T22:57:15.000
a12ac8712e66218cbd4e6b2092b190c23d1df406,0048d41c889306101d9ac6461a8f8ac6e7bd119f,3d94ae9719c193113b49f823744d2d37a05b7310,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-25T21:39:57.000,1972-07-25T21:39:49.000,1972-07-25T21:32:35.000
01eccc9676820fa21052b92c093b87563c9f2cde,0048d41c889306101d9ac6461a8f8ac6e7bd119f,3d94ae9719c193113b49f823744d2d37a05b7310,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-25T21:39:57.000,1972-07-25T21:39:49.000,1972-07-25T21:32:41.000
7df0abdc10a97f4fed3aa69ecb347079a16c2c10,0048d41c889306101d9ac6461a8f8ac6e7bd119f,3d94ae9719c193113b49f823744d2d37a05b7310,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-25T21:39:56.000,1972-07-25T21:39:49.000,1972-07-25T21:38:58.000
ac656841faa2a212dc205e2d7c7353b5810d2017,0048d41c889306101d9ac6461a8f8ac6e7bd119f,a9de2e13f5bfec81dd26f077fc0f2d7b1016ff79,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-26T15:58:37.000,1972-07-25T21:40:02.000,1972-07-25T21:38:45.000
d81d235c8e7843330a8c0a9e5066fa5f509fab61,0048d41c889306101d9ac6461a8f8ac6e7bd119f,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,ab558841df55926c1ba6be98a175281d583e62b5,1066.36,1972-07-27T18:45:13.000,1972-07-27T18:15:45.000,1972-07-25T21:39:03.000
5eb74a1b83b6addb8454997d580d01b638e24a6f,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,b59c64374aecba179db4c790789883e901f666f5,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-01-04T20:26:55.000,1972-01-04T20:26:52.000,1971-12-31T22:39:57.000
20679d925843a4c25682650e519725d0ddde7465,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,b59c64374aecba179db4c790789883e901f666f5,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-01-04T20:33:48.000,1972-01-04T20:26:53.000,1971-12-31T22:39:57.000
20679d925843a4c25682650e519725d0ddde7465,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,eeffab26d61d64fe53480d40d9610b8b31de7813,ab558841df55926c1ba6be98a175281d583e62b5,5063.77,1972-02-13T00:53:06.000,1972-02-12T00:18:09.000,1972-01-04T20:33:56.000
01eccc9676820fa21052b92c093b87563c9f2cde,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,985b9bf5de26f328e8f69fd92cdf457d8056539e,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-03-02T20:16:12.000,1972-03-02T20:16:07.000,1972-02-03T23:08:49.000
20679d925843a4c25682650e519725d0ddde7465,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,985b9bf5de26f328e8f69fd92cdf457d8056539e,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-03-02T20:16:12.000,1972-03-02T20:16:08.000,1972-02-13T00:53:11.000
01eccc9676820fa21052b92c093b87563c9f2cde,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,985b9bf5de26f328e8f69fd92cdf457d8056539e,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-03-09T18:13:26.000,1972-03-09T18:13:23.000,1972-03-02T20:16:22.000
a12ac8712e66218cbd4e6b2092b190c23d1df406,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,985b9bf5de26f328e8f69fd92cdf457d8056539e,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-03-09T18:13:26.000,1972-03-09T18:13:23.000,1972-03-07T22:11:18.000
20679d925843a4c25682650e519725d0ddde7465,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,985b9bf5de26f328e8f69fd92cdf457d8056539e,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-03-09T18:13:26.000,1972-03-09T18:13:24.000,1972-03-02T20:16:31.000
01eccc9676820fa21052b92c093b87563c9f2cde,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,278185df3bd8a90f7605abe14af149fe50907f05,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-03-25T20:09:26.000,1972-03-25T20:09:18.000,1972-03-09T18:13:32.000
20679d925843a4c25682650e519725d0ddde7465,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,278185df3bd8a90f7605abe14af149fe50907f05,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-03-25T20:09:21.000,1972-03-25T20:09:18.000,1972-03-09T18:13:38.000
85e32bc3038ced169c79bebce5c8c5e88d41e3c8,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,8851f360cad1bc931bbc60cd5074000ec9cd90d8,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-07T16:57:29.000,1972-04-07T16:57:26.000,1972-03-25T20:13:36.000
01eccc9676820fa21052b92c093b87563c9f2cde,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,8851f360cad1bc931bbc60cd5074000ec9cd90d8,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-07T16:57:29.000,1972-04-07T16:57:26.000,1972-03-25T20:09:29.000
20679d925843a4c25682650e519725d0ddde7465,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,8851f360cad1bc931bbc60cd5074000ec9cd90d8,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-07T16:57:30.000,1972-04-07T16:57:26.000,1972-03-25T20:09:37.000
85e32bc3038ced169c79bebce5c8c5e88d41e3c8,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,434b80444330d642643e5a2b317c8da6296b8d91,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-07T17:03:25.000,1972-04-07T17:03:15.000,1972-04-07T17:03:14.000
85e32bc3038ced169c79bebce5c8c5e88d41e3c8,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-20T00:45:56.000,1972-04-19T20:35:27.000,1972-04-18T19:19:03.000
85e32bc3038ced169c79bebce5c8c5e88d41e3c8,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-20T00:50:56.000,1972-04-19T20:35:29.000,1972-04-18T22:23:42.000
01eccc9676820fa21052b92c093b87563c9f2cde,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-20T01:04:05.000,1972-04-20T01:03:55.000,1972-04-07T17:02:55.000
20679d925843a4c25682650e519725d0ddde7465,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-20T01:04:05.000,1972-04-20T01:03:55.000,1972-04-07T17:03:18.000
7df0abdc10a97f4fed3aa69ecb347079a16c2c10,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-20T01:04:04.000,1972-04-20T01:03:55.000,1972-04-20T01:03:46.000
d81d235c8e7843330a8c0a9e5066fa5f509fab61,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,0d978de9cbc92f4bdcbd9d0ff4e60125ee6a1e2f,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-20T01:15:45.000,1972-04-20T01:03:58.000,1972-04-20T01:03:33.000
ac656841faa2a212dc205e2d7c7353b5810d2017,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,376d447b48e0b6086d15c6b7edfc37a174b004d1,08485bb34a9b64c867a5da9725c8a6332831ee18,5063.77,1972-04-20T01:13:15.000,1972-04-20T01:04:47.000,1972-04-20T01:02:37.000
ac656841faa2a212dc205e2d7c7353b5810d2017,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,278185df3bd8a90f7605abe14af149fe50907f05,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-21T18:53:38.000,1972-04-21T18:36:33.000,1972-04-21T18:36:19.000
7df0abdc10a97f4fed3aa69ecb347079a16c2c10,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,c9ec1c4fd67b28f288c71e9f8949523c471f31b9,08485bb34a9b64c867a5da9725c8a6332831ee18,5063.77,1972-04-21T18:36:53.000,1972-04-21T18:36:42.000,1972-04-21T18:36:42.000
c3d08f48336fa8d3a0e15f856118e83655acb308,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,c9ec1c4fd67b28f288c71e9f8949523c471f31b9,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-21T18:36:53.000,1972-04-21T18:36:49.000,1972-04-21T18:33:41.000
d81d235c8e7843330a8c0a9e5066fa5f509fab61,007f9438502c590ccd8fef1173d4e5e0be9f4cf8,c9ec1c4fd67b28f288c71e9f8949523c471f31b9,94c1b6409617849557e6605cb41de7bf9e5d5aa2,5063.77,1972-04-21T18:54:30.000,1972-04-21T18:37:04.000,1972-04-21T18:37:04.000
5eb74a1b83b6addb8454997d580d01b638e24a6f,0083e0a1aca2750697ff2c1a06443ba5356edcb1,8851f360cad1bc931bbc60cd5074000ec9cd90d8,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-02-29T17:43:49.000,1972-02-29T17:43:47.000,1972-02-26T21:41:54.000
c3d08f48336fa8d3a0e15f856118e83655acb308,0083e0a1aca2750697ff2c1a06443ba5356edcb1,8851f360cad1bc931bbc60cd5074000ec9cd90d8,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-02-29T17:43:49.000,1972-02-29T17:43:47.000,1972-02-26T21:41:54.000
c3d08f48336fa8d3a0e15f856118e83655acb308,0083e0a1aca2750697ff2c1a06443ba5356edcb1,8851f360cad1bc931bbc60cd5074000ec9cd90d8,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-02-29T17:44:22.000,1972-02-29T17:43:47.000,1972-02-26T21:41:54.000
20679d925843a4c25682650e519725d0ddde7465,0083e0a1aca2750697ff2c1a06443ba5356edcb1,8851f360cad1bc931bbc60cd5074000ec9cd90d8,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-02-29T17:43:50.000,1972-02-29T17:43:47.000,1972-02-26T21:41:54.000
01eccc9676820fa21052b92c093b87563c9f2cde,0083e0a1aca2750697ff2c1a06443ba5356edcb1,5c775a5a2f09fe34abb9fc18fd320a21c372538c,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-03-22T18:21:23.000,1972-03-22T18:21:20.000,1972-02-29T17:44:28.000
20679d925843a4c25682650e519725d0ddde7465,0083e0a1aca2750697ff2c1a06443ba5356edcb1,5c775a5a2f09fe34abb9fc18fd320a21c372538c,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-03-22T18:21:23.000,1972-03-22T18:21:20.000,1972-02-29T17:44:39.000
85e32bc3038ced169c79bebce5c8c5e88d41e3c8,0083e0a1aca2750697ff2c1a06443ba5356edcb1,5c775a5a2f09fe34abb9fc18fd320a21c372538c,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-03-22T18:21:32.000,1972-03-22T18:21:30.000,1972-03-11T22:43:16.000
01eccc9676820fa21052b92c093b87563c9f2cde,0083e0a1aca2750697ff2c1a06443ba5356edcb1,5c775a5a2f09fe34abb9fc18fd320a21c372538c,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-03-22T18:21:33.000,1972-03-22T18:21:30.000,1972-03-22T18:21:28.000
01eccc9676820fa21052b92c093b87563c9f2cde,0083e0a1aca2750697ff2c1a06443ba5356edcb1,5c775a5a2f09fe34abb9fc18fd320a21c372538c,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-03-22T18:52:17.000,1972-03-22T18:52:15.000,1972-03-22T18:28:26.000
a12ac8712e66218cbd4e6b2092b190c23d1df406,0083e0a1aca2750697ff2c1a06443ba5356edcb1,5c775a5a2f09fe34abb9fc18fd320a21c372538c,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-03-22T18:52:17.000,1972-03-22T18:52:15.000,1972-03-22T18:28:32.000
85e32bc3038ced169c79bebce5c8c5e88d41e3c8,0083e0a1aca2750697ff2c1a06443ba5356edcb1,5c775a5a2f09fe34abb9fc18fd320a21c372538c,ab558841df55926c1ba6be98a175281d583e62b5,6411.12,1972-03-22T19:02:44.000,1972-03-22T19:02:41.000,1972-03-22T19:01:36.000
